ID,x.coord,y.coord,angle,distance,RSSI,rel,dist1
24261,0,5,240,4.472135955,-60,-93.43494882,"(4,5]"
24266,0,6,30,5,-58,66.86989765,"(4,5]"
24267,0,6,60,5,-58,96.86989765,"(4,5]"
24275,0,6,300,5,-59,-23.13010235,"(4,5]"
24277,1,0,0,4.242640687,-56,-45,"(4,5]"
24278,1,0,30,4.242640687,-59,-15,"(4,5]"
24281,1,0,120,4.242640687,-58,75,"(4,5]"
24282,1,0,150,4.242640687,-56,105,"(4,5]"
24283,1,0,180,4.242640687,-58,135,"(4,5]"
24284,1,0,210,4.242640687,-59,165,"(4,5]"
24285,1,0,240,4.242640687,-59,-165,"(4,5]"
24286,1,0,270,4.242640687,-56,-135,"(4,5]"
24287,1,0,300,4.242640687,-52,-105,"(4,5]"
24288,1,0,330,4.242640687,-53,-75,"(4,5]"
24289,1,1,0,3.605551275,-53,-33.69006753,"(3,4]"
24290,1,1,30,3.605551275,-59,-3.690067526,"(3,4]"
24293,1,1,120,3.605551275,-58,86.30993247,"(3,4]"
24294,1,1,150,3.605551275,-58,116.3099325,"(3,4]"
24295,1,1,180,3.605551275,-58,146.3099325,"(3,4]"
24296,1,1,210,3.605551275,-59,176.3099325,"(3,4]"
24298,1,1,270,3.605551275,-52,-123.6900675,"(3,4]"
24299,1,1,300,3.605551275,-50,-93.69006753,"(3,4]"
24300,1,1,330,3.605551275,-50,-63.69006753,"(3,4]"
24301,1,2,0,3.16227766,-48,-18.43494882,"(3,4]"
24302,1,2,30,3.16227766,-53,11.56505118,"(3,4]"
24303,1,2,60,3.16227766,-58,41.56505118,"(3,4]"
24305,1,2,120,3.16227766,-57,101.5650512,"(3,4]"
24306,1,2,150,3.16227766,-56,131.5650512,"(3,4]"
24307,1,2,180,3.16227766,-58,161.5650512,"(3,4]"
24310,1,2,270,3.16227766,-54,-108.4349488,"(3,4]"
24311,1,2,300,3.16227766,-51,-78.43494882,"(3,4]"
24312,1,2,330,3.16227766,-50,-48.43494882,"(3,4]"
24313,1,3,0,3,-48,0,"(2,3]"
24314,1,3,30,3,-50,30,"(2,3]"
24315,1,3,60,3,-53,60,"(2,3]"
24316,1,3,90,3,-59,90,"(2,3]"
24325,1,4,0,3.16227766,-52,18.43494882,"(3,4]"
24326,1,4,30,3.16227766,-50,48.43494882,"(3,4]"
24327,1,4,60,3.16227766,-53,78.43494882,"(3,4]"
24328,1,4,90,3.16227766,-58,108.4349488,"(3,4]"
24329,1,4,120,3.16227766,-58,138.4349488,"(3,4]"
24330,1,4,150,3.16227766,-58,168.4349488,"(3,4]"
24336,1,4,330,3.16227766,-57,-11.56505118,"(3,4]"
24337,1,5,0,3.605551275,-52,33.69006753,"(3,4]"
24338,1,5,30,3.605551275,-50,63.69006753,"(3,4]"
24339,1,5,60,3.605551275,-50,93.69006753,"(3,4]"
24340,1,5,90,3.605551275,-58,123.6900675,"(3,4]"
24341,1,5,120,3.605551275,-58,153.6900675,"(3,4]"
24342,1,5,150,3.605551275,-59,-176.3099325,"(3,4]"
24348,1,5,330,3.605551275,-58,3.690067526,"(3,4]"
24361,2,0,0,3.605551275,-58,-56.30993247,"(3,4]"
